,road,vol,speed,last-update-time
8084,公园中路(人民路-河南路),1.0,68.0,2012-11-14  22:34:18 
8085,公园中路(人民路-河南路),2.0,62.0,2012-11-14  22:33:18 
8086,公园中路(人民路-河南路),6.0,38.0,2012-11-14  22:32:18 
8087,公园中路(人民路-河南路),3.0,32.0,2012-11-14  22:31:18 
8088,公园中路(人民路-河南路),6.0,27.0,2012-11-14  22:30:18 
8089,公园中路(人民路-河南路),2.0,25.0,2012-11-14  22:29:17 
8090,公园中路(人民路-河南路),5.0,38.0,2012-11-14  22:29:16 
8091,公园中路(人民路-河南路),,,2012-11-14  22:28:16 
8092,公园中路(人民路-河南路),6.0,69.0,2012-11-14  22:27:16 
8093,公园中路(人民路-河南路),1.0,17.0,2012-11-14  22:26:16 
8094,公园中路(人民路-河南路),9.0,52.0,2012-11-14  22:25:15 
8095,公园中路(人民路-河南路),1.0,16.0,2012-11-14  22:24:15 
8096,公园中路(人民路-河南路),6.0,66.0,2012-11-14  22:23:15 
8097,公园中路(人民路-河南路),4.0,50.0,2012-11-14  22:22:15 
8098,公园中路(人民路-河南路),9.0,49.0,2012-11-14  22:21:15 
8099,公园中路(人民路-河南路),1.0,51.0,2012-11-14  22:20:15 
8100,公园中路(人民路-河南路),2.0,42.0,2012-11-14  22:19:15 
8101,公园中路(人民路-河南路),2.0,47.0,2012-11-14  22:18:15 
8102,公园中路(人民路-河南路),5.0,44.0,2012-11-14  22:17:15 
8103,公园中路(人民路-河南路),4.0,77.0,2012-11-14  22:16:15 
8104,公园中路(人民路-河南路),5.0,41.0,2012-11-14  22:15:15 
8105,公园中路(人民路-河南路),6.0,73.0,2012-11-14  22:14:15 
8106,公园中路(人民路-河南路),4.0,57.0,2012-11-14  22:13:15 
8107,公园中路(人民路-河南路),10.0,55.0,2012-11-14  22:12:15 
8108,公园中路(人民路-河南路),4.0,50.0,2012-11-14  22:11:14 
8109,公园中路(人民路-河南路),3.0,56.0,2012-11-14  22:10:14 
8110,公园中路(人民路-河南路),4.0,40.0,2012-11-14  22:09:14 
8111,公园中路(人民路-河南路),7.0,53.0,2012-11-14  22:08:14 
8112,公园中路(人民路-河南路),9.0,50.0,2012-11-14  22:07:14 
8113,公园中路(人民路-河南路),3.0,46.0,2012-11-14  22:06:14 
8114,公园中路(人民路-河南路),6.0,77.0,2012-11-14  22:05:14 
8115,公园中路(人民路-河南路),1.0,39.0,2012-11-14  22:04:13 
8116,公园中路(人民路-河南路),5.0,76.0,2012-11-14  22:03:14 
8117,公园中路(人民路-河南路),5.0,73.0,2012-11-14  22:02:13 
8118,公园中路(人民路-河南路),6.0,77.0,2012-11-14  22:01:14 
8119,公园中路(人民路-河南路),3.0,41.0,2012-11-14  22:00:11 
8120,公园中路(人民路-河南路),6.0,50.0,2012-11-14  21:59:13 
8121,公园中路(人民路-河南路),7.0,55.0,2012-11-14  21:58:13 
8122,公园中路(人民路-河南路),5.0,48.0,2012-11-14  21:57:13 
8123,公园中路(人民路-河南路),5.0,39.0,2012-11-14  21:56:13 
8124,公园中路(人民路-河南路),1.0,49.0,2012-11-14  21:55:13 
8125,公园中路(人民路-河南路),3.0,38.0,2012-11-14  21:54:13 
8126,公园中路(人民路-河南路),7.0,24.0,2012-11-14  21:53:13 
8127,公园中路(人民路-河南路),5.0,46.0,2012-11-14  21:52:13 
8128,公园中路(人民路-河南路),2.0,22.0,2012-11-14  21:51:12 
8129,公园中路(人民路-河南路),4.0,29.0,2012-11-14  21:50:12 
8130,公园中路(人民路-河南路),,,2012-11-14  21:49:12 
8131,公园中路(人民路-河南路),6.0,30.0,2012-11-14  21:48:10 
8132,公园中路(人民路-河南路),4.0,41.0,2012-11-14  21:47:12 
8133,公园中路(人民路-河南路),5.0,33.0,2012-11-14  21:46:12 
8134,公园中路(人民路-河南路),4.0,32.0,2012-11-14  21:45:12 
8135,公园中路(人民路-河南路),1.0,28.0,2012-11-14  21:44:12 
8136,公园中路(人民路-河南路),3.0,34.0,2012-11-14  21:43:12 
8137,公园中路(人民路-河南路),4.0,36.0,2012-11-14  21:42:12 
8138,公园中路(人民路-河南路),4.0,36.0,2012-11-14  21:41:12 
8139,公园中路(人民路-河南路),1.0,28.0,2012-11-14  21:40:12 
8140,公园中路(人民路-河南路),8.0,52.0,2012-11-14  21:39:11 
8141,公园中路(人民路-河南路),2.0,31.0,2012-11-14  21:38:11 
8142,公园中路(人民路-河南路),3.0,30.0,2012-11-14  21:37:11 
8143,公园中路(人民路-河南路),5.0,47.0,2012-11-14  21:36:12 
8144,公园中路(人民路-河南路),10.0,50.0,2012-11-14  21:35:11 
8145,公园中路(人民路-河南路),11.0,46.0,2012-11-14  21:34:09 
8146,公园中路(人民路-河南路),10.0,39.0,2012-11-14  21:33:12 
8147,公园中路(人民路-河南路),6.0,66.0,2012-11-14  21:32:11 
8148,公园中路(人民路-河南路),9.0,53.0,2012-11-14  21:31:11 
8149,公园中路(人民路-河南路),6.0,49.0,2012-11-14  21:30:11 
8150,公园中路(人民路-河南路),6.0,65.0,2012-11-14  21:29:11 
8151,公园中路(人民路-河南路),10.0,61.0,2012-11-14  21:28:08 
8152,公园中路(人民路-河南路),2.0,32.0,2012-11-14  21:27:10 
8153,公园中路(人民路-河南路),7.0,65.0,2012-11-14  21:26:10 
8154,公园中路(人民路-河南路),1.0,41.0,2012-11-14  21:25:10 
8155,公园中路(人民路-河南路),5.0,32.0,2012-11-14  21:24:10 
8156,公园中路(人民路-河南路),6.0,73.0,2012-11-14  21:23:10 
8157,公园中路(人民路-河南路),7.0,43.0,2012-11-14  21:22:10 
8158,公园中路(人民路-河南路),3.0,58.0,2012-11-14  21:21:10 
8159,公园中路(人民路-河南路),11.0,58.0,2012-11-14  21:20:09 
8160,公园中路(人民路-河南路),2.0,32.0,2012-11-14  21:19:09 
8161,公园中路(人民路-河南路),3.0,37.0,2012-11-14  21:18:10 
